smiles,IE,EA,charge,formula_pretty
Br[Mg],6.030250224817428,1.285834363801405,1.0,MgBr
C12=C3c4c5C(=O)C2=C(c2c1c(C(=O)[C]3C=Cc4ccc5)ccc2)[CH2],4.803621626551466,2.5036342067920487,0.0,H5C11O
c1(SSc2ncccc2)ncccc1,4.783699141110992,1.994990507964394,0.0,H4C5SN
c12c(c3c(nc1cccc2)cccc3)Cl,4.5583634782065925,1.5088204896943354,0.0,H8C13NCl
N1(c2cc(c(cc2)Cl)Cl)C(=O)C=CC1=O,5.198565714441065,2.102800639362249,0.0,H5C10N(ClO)2
C(C#CC(C)C)(C)C,5.481534549584103,-0.771096216060323,0.0,H7C4
N1([C@@H]2CCC[C@H]1CCC2)N(C)C,2.918055620928135,-1.008899384018514,0.0,H10C5N
c12c(C(=O)OC2=O)cccc1N(=O)=O,6.627450482568383,2.600458996404632,0.0,H3C8NO5
c12c3c(ccc1[N]c1c([CH]2)cc(cc1C)C)cccc3,4.336806260167213,1.0900334280719108,0.0,H15C19N
[C@H](CC)(N)C,4.723156546771497,-0.85886858099675,0.0,H11C4N
c12N(c3c(Cc1cccc2)cccc3)C,3.696020026816405,-0.4491363985165661,0.0,H13C14N
N1C(CC(=O)CC1(C)C)(C)C,4.409475292076968,0.0369538087612455,0.0,H17C9NO
C1(N(C(CC(=O)C1)(C)C)O)(C)C,4.0741997852033816,0.0781526929218672,0.0,H17C9NO2
c12c(CCc3c(N1)cccc3)cccc2,3.698080527222919,-0.5259708647121442,0.0,H13C14N
c12c(n(c3c(n1C)cccc3)C)cccc2,3.009280149917322,-0.6600986193501739,0.0,H7C7N
c1(c2nc3c(cc2)cccc3)nc2c(cc1)cccc2,4.853338457547215,1.2086673445533962,0.0,H6C9N
C(=O)=O,9.433271500599949,0.9411930332949852,0.0,CO2
N(SCC)(CC)CC,3.706602025145549,0.8078058228653391,0.0,H15C6SN
c1(c2c(cc3c1cccc3)cccc2)C(=O)C,4.116718878636311,1.41346900603603,0.0,H12C16O
[Be],2.644094861350629,-0.3653096869607224,0.0,Be
[N]([Si](C)(C)C)[Si](C)(C)C,2.8602407501253766,-0.7762685640685958,-1.0,Si2H18C6N
C1(C(=S)NC(=S)N1)(C)C,5.040562460313231,1.3271285394963344,0.0,H8C5(SN)2
[Si](c1sc(cc1)[Si](C)(C)C)(C)(C)C,4.664895066410827,-0.0155926197607185,0.0,Si2H20C10S
C1(=CCCCC1)N(C)C,3.2894531949565136,-0.8904528723400289,0.0,H15C8N
c1(c2ccccc2)cn2c(c1)cccc2,3.7616967017998832,0.1914827324486396,0.0,H11C14N
O,7.9021207518263505,-1.3434010426725762,0.0,H2O
c12c3c(sc1cc1c(c2)cccc1)cccc3,4.172036299512547,0.7183240877726349,0.0,H10C16S
c12c(Nc3c(O1)cccc3)cccc2,3.473646176098191,-0.4197452603588316,0.0,H9C12NO
N(N(CC)CC)(CC)CC,2.8686815281995224,-1.0914587008832313,0.0,H10C4N
[C@H]12N(C[C@H](CC1)CC2)C,3.6255285042658216,-0.8779218450348707,0.0,H15C8N
c1(c(ccc(c1)C)C)C,4.7334928644027965,-0.8435080405291955,0.0,H4C3
[N]([O])(C)(C)C,4.899160261941324,-0.9413568407720958,0.0,H9C3NO
C(=S)(C(C)(C)C)C(C)(C)C,4.562573770455492,1.2128797184792348,0.0,H18C9S
N1(C=C(C)C)CCOCC1,3.3196398769719964,-0.9255338237875548,0.0,H15C8NO
c12c(C(=O)c3c(C1=O)cccc3)cccc2N(=O)=O,6.127206529768591,2.4473541940911674,0.0,H7C14NO4
c1(cc(c(cc1)C)O)C(C)C,4.502200267653825,-0.5027007940156181,0.0,H14C10O
N12CC[C@H](CC1)CC2,4.014786365330656,-0.8870294244628893,0.0,H13C7N
c1(c(N(=O)=O)cccc1)c1ccccc1,5.175555819956207,1.9472065587011456,0.0,H9C12NO2
C(C(C)C)CC,6.129822722007338,-1.0467343533677194,0.0,H7C3
N(SN(C)C)(C)C,3.695542197639589,-0.8273853418526413,0.0,H12C4SN2
[C@]12(C(C)C)OO[C@](CC1)(CC2)C,4.761752711044755,-0.8165635894587466,0.0,H9C5O
c12c3c(ccc1nccc2)cccc3,4.737862506519013,0.6867434971842159,0.0,H9C13N
c12c(C(=O)c3c(C1=O)cccc3)c(ccc2Cl)Cl,5.629362748915446,2.278509701501753,0.0,H3C7ClO
c1(C(=O)OC)ccc(cc1)C#N,6.109630862919948,1.432639885838944,0.0,H7C9NO2
C(C(=O)CC(=O)C)(F)(F)F,5.913234863217076,1.530878897328512,0.0,H5C5O2F3
N1(C2=CCCCC2)CCOCC1,3.427028487708958,-0.8944038700377859,0.0,H17C10NO
c1(c2ccccc2)cc2c(cc1)cccc2,4.411375457571557,0.5410696476079466,0.0,H3C4
c1(c2sc(cc2)C)sc(cc1)C,3.829423702854547,0.5196226253407077,0.0,H5C5S
C([Si](C)(C)C)OC,4.743421005832351,-0.6951138797925522,0.0,SiH14C5O
[C@H]12C[C@H](OO1)CCCC2,4.968344791793788,-0.8288581090204388,0.0,H12C7O2
c1(N2C(=O)C=CC2=O)cc(N(=O)=O)ccc1,5.535079254930315,2.145154976021877,0.0,H3C5NO2
C1(=O)[C@H]2C[C@H]3C[C@@H]1C[C@@H](C2)C3,5.272281788703912,-0.8929589482744631,0.0,H14C10O
C(=O)(c1ccccc1)[Si](C)(C)C,4.755020884074474,1.1208937442184834,0.0,SiH14C10O
C(=CC=C(C)C)(C)C,3.986631753272013,-0.28006712900642,0.0,H7C4
